Drug 1,Drug 2,Tanimoto,Cosine,Difference
Amikacin,Kanamycin,0.6551724137931034,0.9748772975249385,0.31970488373183503
Levofloxacin,Moxifloxacin,0.3875,0.8167682132433689,0.4292682132433689
Isoniazid,Pyrazinamide,0.2727272727272727,0.8141435096946102,0.5414162369673375
Ethionamide,Isoniazid,0.2631578947368421,0.7135689067938595,0.45041101205701745
Kanamycin,Streptomycin,0.2564102564102564,0.8353175758963781,0.5789073194861217
Amikacin,Streptomycin,0.23404255319148937,0.8420700619161836,0.6080275087246942
Levofloxacin,Linezolid,0.20238095238095238,0.5353300090347483,0.33294905665379587
Ethionamide,Pyrazinamide,0.2,0.6434180394502912,0.4434180394502912
Delamanid,Linezolid,0.17346938775510204,0.5688928507575968,0.39542346300249476
Linezolid,Moxifloxacin,0.1702127659574468,0.5482112744963303,0.3779985085388835
Levofloxacin,Rifampicin,0.16393442622950818,0.567663444456727,0.40372901822721885
Bedaquiline,Clofazimine,0.1368421052631579,0.8930343044230427,0.7561921991598848
Capreomycin,Linezolid,0.13333333333333333,0.14151318361997106,0.00817985028663773
Isoniazid,Linezolid,0.12698412698412698,0.504745868728429,0.377761741744302
Amikacin,Capreomycin,0.1171875,0.41546680543480075,0.29827930543480075
Ethionamide,Linezolid,0.11594202898550725,0.5010683884531296,0.38512635946762236
Delamanid,Levofloxacin,0.11538461538461539,0.5436328106345983,0.4282481952499829
Delamanid,Rifampicin,0.11428571428571428,0.44426163871457625,0.329975924428862
Moxifloxacin,Rifampicin,0.11029411764705882,0.444232499670152,0.33393838202309317
Linezolid,Rifampicin,0.11023622047244094,0.3308951814189711,0.22065896094653017
Delamanid,Moxifloxacin,0.10619469026548672,0.5593060353305344,0.45311134506504763
Capreomycin,Moxifloxacin,0.10606060606060606,-0.025571270274054633,0.1316318763346607
Bedaquiline,Ethionamide,0.1038961038961039,0.4917732700802153,0.3878771661841114
Amikacin,Linezolid,0.10309278350515463,0.17266665656702565,0.06957387306187102
Rifampicin,Streptomycin,0.10294117647058823,0.1305189966052054,0.02757782013461718
Ethambutol,Ethionamide,0.1,0.32458826653750805,0.22458826653750805
