ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,ARO Category,drug_class_list,ARO Accession_encoded,Model Name_encoded,ARO Name_encoded,CARD Short Name_encoded,AMR Gene Family_encoded,Drug Class_encoded,Resistance Mechanism_encoded,ARO Category_encoded,drug_class_list_encoded
ARO:3005099,43314,6143,3831,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),AAB60941.1,AF002716.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Spyo_ErmA_MLSb,,lincosamide antibiotic,3126,0,0,5424,137,118,7,-1,17
ARO:3005099,43314,6143,3831,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),AAB60941.1,AF002716.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Spyo_ErmA_MLSb,,macrolide antibiotic,3126,0,0,5424,137,118,7,-1,18
ARO:3005099,43314,6143,3831,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),AAB60941.1,AF002716.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Spyo_ErmA_MLSb,,streptogramin antibiotic,3126,0,0,5424,137,118,7,-1,40
ARO:3002523,38923,8144,1781,AAC(2')-Ia,AAC(2')-Ia,AAA03550.1,L06156.2,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ia,,aminoglycoside antibiotic,1618,3,3,2,15,13,5,-1,1
ARO:3002524,38924,85,746,AAC(2')-Ib,AAC(2')-Ib,AAC44793.1,U41471.1,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ib,,aminoglycoside antibiotic,1619,4,4,3,15,13,5,-1,1
ARO:3002525,38925,4719,1246,AAC(2')-Ic,AAC(2')-Ic,CCP42991.1,AL123456.3,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ic,,aminoglycoside antibiotic,1620,5,5,4,15,13,5,-1,1
ARO:3002526,38926,228,1415,AAC(2')-Id,AAC(2')-Id,AAB41701.1,U72743.1,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Id,,aminoglycoside antibiotic,1621,6,6,5,15,13,5,-1,1
ARO:3002527,38927,5510,2832,AAC(2')-Ie,AAC(2')-Ie,CAC32082.1,AL583926.1,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ie,,aminoglycoside antibiotic,1622,7,7,6,15,13,5,-1,1
ARO:3004628,42613,5361,3327,AAC(2')-IIa,AAC(2')-IIa,BAM16262.1,AB669090.1,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-IIa,,aminoglycoside antibiotic,2841,1,1,0,15,13,5,-1,1
ARO:3003988,40870,3860,2524,AAC(2')-IIb,AAC(2')-IIb,APB03221.1,KX531051.1,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-IIb,,aminoglycoside antibiotic,2590,2,2,1,15,13,5,-1,1
ARO:3002528,38928,8360,39,AAC(3)-Ia,AAC(3)-Ia,AAG15269.1,U12338.3,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ia,,aminoglycoside antibiotic,1623,20,20,19,16,13,5,-1,1
ARO:3002530,38930,224,575,AAC(3)-Ib,AAC(3)-Ib,AAA88422.1,L06157.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ib,,aminoglycoside antibiotic,1625,21,21,20,16,13,5,-1,1
ARO:3002600,39000,271,209,AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein,AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein,AAL82588.1,AF355189.1,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC_3Ib_AAC_6Ib,,aminoglycoside antibiotic,1690,22,22,93,353,13,5,-1,1
ARO:3002531,38931,47,1131,AAC(3)-Ic,AAC(3)-Ic,CAD53575.1,AJ511268.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ic,,aminoglycoside antibiotic,1626,23,23,21,16,13,5,-1,1
ARO:3002529,38929,223,742,AAC(3)-Id,AAC(3)-Id,AAR21614.1,AY458224.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Id,,aminoglycoside antibiotic,1624,24,24,22,16,13,5,-1,1
